data-division,data-items-familyName,data-items-species-speciesName,data-items-species-above.,data-items-species-folders-description,data-items-species-folders-prepared.,data-items-species-folders-above.
DICOTYLEDONES,DICOTYLEDONES,I. POLYPETALAE.,,,,
DICOTYLEDONES,DICOTYLEDONES,I. THALAMIFLORAE.,,,,
DICOTYLEDONES,RANUNCULACEAE,"Aconitum Napellus, L.",,"A portion of the plant in flower. Hohneck, Vosges, 13 Aug., 1855. Pie de Sancy, Auvergne, Sept., 1858. b. Plant in flower, with root attached.",,
DICOTYLEDONES,RANUNCULACEAE,"Aconitum Lycoctonum, L.",,"Plant in flower, with root attached. Hohneck, Vosges, 13 Aug., 1855.",,
DICOTYLEDONES,RANUNCULACEAE,"Actaea spicata, L.",,"Leafy stem with flowers and detached fruit. Cultivated at Clapham Common, 1857. b. Two leafy stems with fruit, and detached fruit. (1) Hohneck, Vosges, 13 Aug., 1855. (2) Auvergne, Sept., 1855.",,
DICOTYLEDONES,RANUNCULACEAE,"Anemone Hepatica, L.",,"Plant in flower, two specimens. (1) Salzburg, 10 Sept., 1862. With root attached. (2) Mont. Ventoux, near Avignon, 7 May, 1866.",,
DICOTYLEDONES,RANUNCULACEAE,"Anemone Pulsatilla, L.",,"Plant in flower, three specimens. (1) Chalky hills, Hoxton, near Hitchin, Herts, April, 1854; E. Bentley. (2) Hitchin, 1857; B. Hanbury. (3) with root attached, near Cambridge, 1859; T. W. Beddome. b. Plants with flower, fruit, and root. Tonnerre, France, 27 April, 1866.",,
DICOTYLEDONES,RANUNCULACEAE,"Clematis Caripensis, H.B.K. ""Crespa""",,"Twig in fruit. The following extract is attached to this specimen: ""Among the dried specimens I send a portion of a vine, or large creeper, called by the Indians 'Crespa,' or blistering leaf, much used among them and among many of the native doctors. I have often recommended it myself to the poor as a cheap blister. In using it, a few fresh leaves should be bruised in a mortar with a little water or vinegar, and applied to the skin for about ten minutes, or until a slight redness is produced on the part. The leaves are then carefully re- moved and a little fresh lard gently rubbed on, when the blister shortly after rises. If the leaves are left on too long, a troublesome sore en- sues. For children, a small rag wetted with the liquid answers the purpose. ""There are two varieties, the smaller one which I send, and the larger from Niasaguna, which produces a pod like cotton. From the flowers a feeble counter-irritant is produced. Flowers in June and July."" (Letter from Dr. Dorat. Sonsonate 12, Aug., 63.)",,
DICOTYLEDONES,RANUNCULACEAE,"Clematis Flammula, L.",,"Twig in flower with detached fruits. (1) Grasse, 6 July, 1857. (2) Nismes, 19 Oct., 1859.",,
DICOTYLEDONES,RANUNCULACEAE,"Clematis graveolens, Hook. ""Zarmiri""",,Leafy twig.,,
