division,familyName,speciesName,folderNo,JL].,description,Hetherset,Aug.,1767,Galium... [illegible
Dicotyledones,ACERACEAE,Acer campestre L.,1.0,,Acer campestre [TA],,,,
Dicotyledones,ACERACEAE,Acer pseudoplatanus L.,2.0,,"Folder 1. Acer Pseudo-Platanus [G]. i. ""Maple. Bulls: [Bulstrode] Park"" [JL]",,,,
Dicotyledones,ACERACEAE,Acer pseudoplatanus L.,2.0,,Folder 2. Acer Pseudo-Platanus [TA].,,,,
Dicotyledones,AMARANTHACEAE,"Amaranthus lividus L., Flora Europaea 1: 110 (1964)",1.0,,"1 folder. Amaranthus Blitum [TA]. i. Cites Ray's Syn. 1957. ii. ""Blite Amaranth. Aug.: It is often found on Dunghills in the neighbourhood of London. I gather'd this on a Dunghill at Fulham near London"" [JL]. iii. ""Amaranthus Blitum. Monoec: 5. and:"" [JL]",,,,
Dicotyledones,ARALIACEAE,Hedera helix L.,1.0,,Hedera Helix [TA].,,,,
Dicotyledones,ARISTOLOCHIACEAE,Asarum europaeum L.,1.0,,"Asarum europaeum [TA]. i. ""Asarum europaeum Lin: Asara- bacca. Anglis. ex horto"" [JL].",,,,
Dicotyledones,BALSAMINACEAE,Impatiens noli-tangere L.,1.0,,Impatiens Noli me tangere [G].,,,,
Dicotyledones,BETULACEAE,Alnus glutinosa (L.) Gaertn.,1.0,,Betula Alnus [TA],,,,
Dicotyledones,BETULACEAE,Betula nana L.,1.0,,Betula nana [G].,,,,
Dicotyledones,CAMPANULACEAE,Campanula latifolia L.,2.0,,Folder 1. Companula latifolia [TA],,,,
Dicotyledones,CAMPANULACEAE,Campanula latifolia L.,2.0,,Folder 2. Companula latifolia [G],,,,
Dicotyledones,CAMPANULACEAE,Campanula patula L.,1.0,,Campanula patula [TA],,,,
Dicotyledones,CAMPANULACEAE,Campanula rapunculus L.,2.0,,Folder 1. Campanula rapunculus [TA],,,,
Dicotyledones,CAMPANULACEAE,Campanula rapunculus L.,2.0,,Folder 2. Campanula rapunculus [G],,,,
Dicotyledones,CAMPANULACEAE,Campanula rotundifolia L.,1.0,,"Folder 1. Campanula rotundifolia [TA]. i. ""Near Perth"" [JL]",,,,
Dicotyledones,CAMPANULACEAE,Campanula trachelium L.,2.0,,Folder 1. Campanula Trachelium [TA],,,,
Dicotyledones,CAMPANULACEAE,Campanula trachelium L.,2.0,,Folder 2. Campanula Trachelium [G],,,,
Dicotyledones,CAMPANULACEAE,Jasione montana L.,1.0,,Jasione montana [TA],,,,
Dicotyledones,CAMPANULACEAE,Legousia hybrida (L.) Delarb.,1.0,,Legousia hybrida [TA],,,,
Dicotyledones,CAMPANULACEAE,Lobelia dortmanna L.,2.0,,"Folder 1. Lobelia Dortmanna [TA]. i. Cites Ray's Syn. 287. ii. ""Water Gladiole. July & August. In the Lakes of North Wales & Westmoreland"" [JL]. iii. ""Lobel: Dortmanna from Anglesey"" [JL]",,,,
Dicotyledones,CAMPANULACEAE,Lobelia dortmanna L.,2.0,,"Folder 2. Lobelia Dortmanna [G]. i. ""Lobel: Dortmanna from Anglesey"" [JL]",,,,
Dicotyledones,CAMPANULACEAE,Lobelia urens L.,4.0,,"Folder 1. Lobelia urens [G]. i. Cites Ray's Hist. 746. ii. ""Caustic Lobelia. Habitat solum humidum & spongiosum Ericeti cujusdam Shute Common dicti Devoniae, inter paludem turfosam & viam publican quae ab Axminster ad Honiton ducit. Plures plantas primum invenit Dom: Newbury e Coll: Exon: Oxon: circiter finem Octo- bris, Anno 1768"" [JL]. iii. ""From Devonshire"" [JL].",,,,
Dicotyledones,CAMPANULACEAE,Lobelia urens L.,4.0,,"Folder 2. Lobelia urens [TA]. i. ""Lobelia urens"" [JL]",,,,
Dicotyledones,CAMPANULACEAE,Lobelia urens L.,4.0,,Folders 3 and 4. Lobelia urens [G],,,,
Dicotyledones,CAMPANULACEAE,Phyteuma tenerum R.Schulz,1.0,,Phyteuma orbicularis [TA],,,,
Dicotyledones,CAMPANULACEAE,Wahlenbergia hederacea (L.) Reichb.,2.0,,"Folder 1. Campanula hederacea [TA]. i. ""Carmathenshire"" [JL]",,,,
Dicotyledones,CAMPANULACEAE,Wahlenbergia hederacea (L.) Reichb.,2.0,,"Folder 2. Campanula hederacea [G]. i. ""Devon & Cornwall"" [JL]",,,,
Dicotyledones,CAPRIFOLIACEAE,Linnaea borealis L.,1.0,,"Linnaea borealis [JL]. i. Cites Linn. Sp. Pl. 631; Bauh. Pin. 93. ii. ""This is a Native of Sweden, Sibiria, Switzerland, Russia, Canada, & c. This Specimen was gathered & communicated by Jos: Banks Esqr. who discover'd it in Abundance in the Woods in Newfoundland"" [JL]. iii. ""In Scotland—See English Botany N.433"" [? G].",,,,
Dicotyledones,CAPRIFOLIACEAE,Lonicera periclymenum L.,1.0,,Lonicera periclymenum [TA].,,,,
Dicotyledones,CAPRIFOLIACEAE,Viburnum lantana L.,1.0,,Viburnum lantana [TA].,,,,
Dicotyledones,CAPRIFOLIACEAE,Viburnum opulus L.,1.0,,Viburnum opulus [TA].,,,,
Dicotyledones,CARYOPHYLLACEAE,Arenaria serpyllifolia L.,1.0,,Arenaria Serpyllifolia [TA],,,,
Dicotyledones,CARYOPHYLLACEAE,"Bufonia tenuifolia L., Flora Europaea 1: 133 (1964)",1.0,,Bufonia Tenuifolia [TA],,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium alpinum L.,2.0,,"Folder 1. Cerastium latifolium [G]. i. Cites Ray's Syn. 349. ii. ""Cerastium alpinum. This was gathered upon Snowdon at the top of the highest Rock call'd Clogwyn y Garnedh. June"" [JL]. iii. ""Top of Snowdon"" [JL]. iv. ""Dr. Solander affirms this to be the true Cerastium alpinum. I had it from Snowdon. He found it at Terra del Fuego & named it C. hirtum with a mark of Dubitation, but now thinks them both one"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium alpinum L.,2.0,,"Folder 2. Cerastium alpinum [TA]; Cerastium latifolium [G]. i. ""Clogwyn dû"" [JL]. ii. ""Cerast: alpin: Ben Lomond"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium arcticum Lange,2.0,,"Folder 1. Cerastium alpinum [G]. i. ""Anglesey. Cerastium alpinum. Q: an Var: aut nova species? Fig: Cerast: alp: non quadrat: Flor: Dan: The Fig: in the fl. Dan: of Cerast: alpinum agrees with this, only taller & more branched, bearing 6 flowers, capsulis oblongis. In the Fl. Lapponic: Lin: says this Plant commonly produced 1 or 2 flowers when wild"" [JL]. ii. ""Cerastium alpinum? Newfoundland. The Flor: Dan: agrees well with the tall one. I believe the others to be nothing but Varieties"" [JL]. [Only two specimens in folder; on left C. arcticum, probably the plant from Anglesey; on right C. arvense, maybe the specimen from Newfoundland collected by Joseph Banks.]",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium arcticum Lange,2.0,,"Folder 2. Cerastium uniflorum [TA]; Cerastium alpinum? [G]. i. ""Cerastium latifolium? This was gathered on Mount Snowdon by the Sides of the Rivulets to the North of Wyddfa by the Revd Mr Williams. June & July"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium arvense L.,2.0,,"Folder 1. Cerastium arvense [TA]. i. ""Cerastium arvense. This must be right tho' the leaves are hoary"" [JL]. ii. ""Cerastium arvense. Very common in Norfolk. Why does Lin. put the word glabris in his Specific Description in opposition to truth & the Testimony of all Authors"" [B].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium arvense L.,2.0,,Folder 2. Cerastium arvense [G]. [See also under C. arcticum Folder 1.],,,,
Dicotyledones,CARYOPHYLLACEAE,"Cerastium fontanum Baumg., subsp. triviale (Link) Jalas, Flora Europaea 1: 142 (1964)",1.0,,"Cerastium vulgaris [TA]; C. vulgatum Huds. and C. viscosum Linn. [G]. i. ""Pray inform mewhether this be Cerastium vulgaris or Cerast: viscosum, & wch of the Figures in Vaillant: Paris: agrees with it, for Linnaeus & Haller seem to contradict each other. In meadows, June. Mr Banks's vulgaris"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cucubalus baccifer L.,3.0,,"Folder 1. Cucubalus baccifer [G]. i. ""Bulstrode"" [JL].",,,,
