data-division,data-items-familyName,data-items-species-speciesName,data-items-species-folders-description
Dicotyledones,ACERACEAE,Acer campestre L\.,Acer campestre \[TA\]
Dicotyledones,ACERACEAE,Acer pseudoplatanus L\.,"Folder 1\. Acer Pseudo-Platanus \[G\]\. i\. ""Maple. Bulls\:\[Bulstrode\] Park"" \[JL\]"
Dicotyledones,ACERACEAE,Acer pseudoplatanus L\.,Folder 2\. Acer Pseudo\-Platanus \[TA\]\.
Dicotyledones,ACERACEAE,Acer Pseudo-Platanus L\.,"Folder 1\. Acer Pseudo-Platanus \[G\]\. i\. ""Maple. Bulls\:\[Bulstrode\] Park"" \[JL\]"
Dicotyledones,ACERACEAE,Acer Pseudo-Platanus [TA],Acer Pseudo-Platanus [TA]
Dicotyledones,AMARANTHACEAE,"Amaranthus lividus L., Flora Europaea 1: 110 (1964)","1 folder. Amaranthus Blitum [TA]. i. Cites Ray's Syn. 1957. ii. ""Blite Amaranth. Aug."" It is often found on Dunghills in the neighbourhood of London. I gather'd this on a Dunghill at Fulham near London"" [JL]. iii. ""Amaranthus Blitum. Monoec: 5. and:"" [JL]"
Dicotyledones,ARALIACEAE,Hedera helix L\.,Hedera Helix \[TA\]
Dicotyledones,ARISTOLOCHIACEAE,Asarum europaeum L.,"Asarum europaeum \[TA\]. i\. ""Asarum europaeum Lin: Asarabacca. Anglis. ex horto"" \[JL\]"
Dicotyledones,BALSAMINACEAE,Impatiens noli-tangere L.,Impatiens Noli me tangere [G]
Dicotyledones,BETULACEAE,Alnus glutinosa (L.) Gaertn.,Betula Alnus [TA]
Dicotyledones,BETULACEAE,Betula nana L.,Betula nana [G].
Dicotyledones,AMPANULACEAE,Campanula latifolia L\.,Campanula latifolia \[L\]\.
Dicotyledones,AMPANULACEAE,Companula latifolia [TA],Folder
Dicotyledones,AMPANULACEAE,Companula latifolia [G],speciesName: Campanula patula L. folders: [{'description': 'Campanula patula \\[TA\\]'}]
