family,species,folder,contents
ACERACEAE,Acer campestre L.,Acer campestre [TA],
ACERACEAE,Acer pseudoplatanus L.,Acer Pseudo-Platanus [G],Maple. Bulls: [Bulstrode] Park [JL]
ACERACEAE,Acer pseudoplatanus L.,Acer Pseudo-Platanus [TA],
AMARANTHACEAE,"Amaranthus lividus L., Flora Europaea 1: 110 (1964)",Amaranthus Blitum [TA],Cites Ray's Syn. 1957. ii. 'Blite Amaranth. Aug! It is often found on Dunghills in the neighbourhood of London. I gather'd this on a Dunghill at Fulham near London' [JL]. iii. 'Amaranthus Blitum. Monoec: 5. and:' [JL]
ARALIACEAE,Hedera helix L.,Hedera Helix [TA],
ARISTOLOCHIACEAE,Asarum europaeum L.,Asarum europaeum [TA],Asarum europaeum Lin: Asarabacca. Anglis. ex horto [JL]
BALSAMINACEAE,Impatiens noli-tangere L.,Impatiens Noli me tangere [G],
BETULACEAE,Alnus glutinosa (L.) Gaertn.,Betula Alnus [TA],
BETULACEAE,Betula nana L.,Betula nana [G],
CAMANULACEAE,Campanula latifolia L.,Companula latifolia [TA],
CAMANULACEAE,Campanula latifolia L.,Companula latifolia [G],
CAMANULACEAE,Campanula patula L.,Campanula patula [TA],
CAMANULACEAE,Campanula rapunculus L.,Campanula rapunculus [TA],
